slice,dataset,split,system,temporal_mode,presence_stratum,task,selection_mode,nominal_budget,threshold,frames,independent_units,independent_unit_type,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_capture,review_precision,false_referrals,remaining_failures,residual_failure_rate_all_frames,auroc,auprc
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.01,,612,29,sequence,56,0.0915032679738562,7,0.011437908496732025,3,0.05357142857142857,0.42857142857142855,4,53,0.08660130718954248,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.01,0.13528396,612,29,sequence,56,0.0915032679738562,1,0.0016339869281045752,1,0.017857142857142856,1.0,0,55,0.08986928104575163,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.05,,612,29,sequence,56,0.0915032679738562,31,0.05065359477124183,10,0.17857142857142858,0.3225806451612903,21,46,0.07516339869281045,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.05,0.09579211,612,29,sequence,56,0.0915032679738562,2,0.0032679738562091504,2,0.03571428571428571,1.0,0,54,0.08823529411764706,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.1,,612,29,sequence,56,0.0915032679738562,62,0.10130718954248366,16,0.2857142857142857,0.25806451612903225,46,40,0.06535947712418301,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.1,0.07180122,612,29,sequence,56,0.0915032679738562,5,0.008169934640522876,3,0.05357142857142857,0.6,2,53,0.08660130718954248,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.2,,612,29,sequence,56,0.0915032679738562,123,0.20098039215686275,26,0.4642857142857143,0.21138211382113822,97,30,0.049019607843137254,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.2,0.04186127,612,29,sequence,56,0.0915032679738562,17,0.027777777777777776,8,0.14285714285714285,0.47058823529411764,9,48,0.0784313725490196,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.01,,612,29,sequence,54,0.08823529411764706,7,0.011437908496732025,3,0.05555555555555555,0.42857142857142855,4,51,0.08333333333333333,0.7556418425594053,0.23979660350660315
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.05,,612,29,sequence,54,0.08823529411764706,31,0.05065359477124183,8,0.14814814814814814,0.25806451612903225,23,46,0.07516339869281045,0.7556418425594053,0.23979660350660315
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.1,,612,29,sequence,54,0.08823529411764706,62,0.10130718954248366,14,0.25925925925925924,0.22580645161290322,48,40,0.06535947712418301,0.7556418425594053,0.23979660350660315
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.2,,612,29,sequence,54,0.08823529411764706,123,0.20098039215686275,26,0.48148148148148145,0.21138211382113822,97,28,0.0457516339869281,0.7556418425594053,0.23979660350660315
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,62,3,sequence,7,0.11290322580645161,1,0.016129032258064516,0,0.0,0.0,1,7,0.11290322580645161,0.8987012987012988,0.3969405594405595
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,62,3,sequence,7,0.11290322580645161,4,0.06451612903225806,1,0.14285714285714285,0.25,3,6,0.0967741935483871,0.8987012987012988,0.3969405594405595
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,62,3,sequence,7,0.11290322580645161,7,0.11290322580645161,2,0.2857142857142857,0.2857142857142857,5,5,0.08064516129032258,0.8987012987012988,0.3969405594405595
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,62,3,sequence,7,0.11290322580645161,13,0.20967741935483872,6,0.8571428571428571,0.46153846153846156,7,1,0.016129032258064516,0.8987012987012988,0.3969405594405595
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,488,22,sequence,0,0.0,5,0.010245901639344262,0,0.0,0.0,5,0,0.0,,
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,488,22,sequence,0,0.0,25,0.05122950819672131,0,0.0,0.0,25,0,0.0,,
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,488,22,sequence,0,0.0,49,0.10040983606557377,0,0.0,0.0,49,0,0.0,,
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,488,22,sequence,0,0.0,98,0.20081967213114754,0,0.0,0.0,98,0,0.0,,
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,62,4,sequence,2,0.03225806451612903,1,0.016129032258064516,0,0.0,0.0,1,2,0.03225806451612903,0.8083333333333333,0.14761904761904762
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,62,4,sequence,2,0.03225806451612903,4,0.06451612903225806,0,0.0,0.0,4,2,0.03225806451612903,0.8083333333333333,0.14761904761904762
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,62,4,sequence,2,0.03225806451612903,7,0.11290322580645161,1,0.5,0.14285714285714285,6,1,0.016129032258064516,0.8083333333333333,0.14761904761904762
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,62,4,sequence,2,0.03225806451612903,13,0.20967741935483872,1,0.5,0.07692307692307693,12,1,0.016129032258064516,0.8083333333333333,0.14761904761904762
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,exact_rank,0.01,,647,4,sequence,647,1.0,7,0.010819165378670788,7,0.010819165378670788,1.0,0,640,0.9891808346213292,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,frozen_sun_entropy_threshold,0.01,0.13528396,647,4,sequence,647,1.0,12,0.01854714064914992,12,0.01854714064914992,1.0,0,635,0.98145285935085,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,exact_rank,0.05,,647,4,sequence,647,1.0,33,0.05100463678516229,33,0.05100463678516229,1.0,0,614,0.9489953632148377,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,frozen_sun_entropy_threshold,0.05,0.09579211,647,4,sequence,647,1.0,60,0.09273570324574962,60,0.09273570324574962,1.0,0,587,0.9072642967542504,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,exact_rank,0.1,,647,4,sequence,647,1.0,65,0.10046367851622875,65,0.10046367851622875,1.0,0,582,0.8995363214837713,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,frozen_sun_entropy_threshold,0.1,0.07180122,647,4,sequence,647,1.0,122,0.18856259659969088,122,0.18856259659969088,1.0,0,525,0.8114374034003091,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,exact_rank,0.2,,647,4,sequence,647,1.0,130,0.2009273570324575,130,0.2009273570324575,1.0,0,517,0.7990726429675425,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,frozen_sun_entropy_threshold,0.2,0.04186127,647,4,sequence,647,1.0,264,0.4080370942812983,264,0.4080370942812983,1.0,0,383,0.5919629057187017,,
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.01,,478,2,sequence,94,0.19665271966527198,5,0.010460251046025104,1,0.010638297872340425,0.2,4,93,0.19456066945606695,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.01,0.13528396,478,2,sequence,94,0.19665271966527198,2,0.0041841004184100415,1,0.010638297872340425,0.5,1,93,0.19456066945606695,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.05,,478,2,sequence,94,0.19665271966527198,24,0.0502092050209205,5,0.05319148936170213,0.20833333333333334,19,89,0.18619246861924685,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.05,0.09579211,478,2,sequence,94,0.19665271966527198,10,0.02092050209205021,2,0.02127659574468085,0.2,8,92,0.19246861924686193,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.1,,478,2,sequence,94,0.19665271966527198,48,0.100418410041841,15,0.1595744680851064,0.3125,33,79,0.16527196652719664,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.1,0.07180122,478,2,sequence,94,0.19665271966527198,39,0.08158995815899582,12,0.1276595744680851,0.3076923076923077,27,82,0.17154811715481172,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.2,,478,2,sequence,94,0.19665271966527198,96,0.200836820083682,33,0.35106382978723405,0.34375,63,61,0.12761506276150628,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.2,0.04186127,478,2,sequence,94,0.19665271966527198,164,0.34309623430962344,53,0.5638297872340425,0.3231707317073171,111,41,0.08577405857740586,0.7552637411347518,0.3281863991933351
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,exact_rank,0.01,,647,4,sequence,647,1.0,7,0.010819165378670788,7,0.010819165378670788,1.0,0,640,0.9891808346213292,,
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,exact_rank,0.05,,647,4,sequence,647,1.0,33,0.05100463678516229,33,0.05100463678516229,1.0,0,614,0.9489953632148377,,
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,exact_rank,0.1,,647,4,sequence,647,1.0,65,0.10046367851622875,65,0.10046367851622875,1.0,0,582,0.8995363214837713,,
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,exact_rank,0.2,,647,4,sequence,647,1.0,130,0.2009273570324575,130,0.2009273570324575,1.0,0,517,0.7990726429675425,,
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.01,,478,2,sequence,89,0.18619246861924685,5,0.010460251046025104,1,0.011235955056179775,0.2,4,88,0.18410041841004185,0.7695618266370123,0.32621077536565457
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.05,,478,2,sequence,89,0.18619246861924685,24,0.0502092050209205,6,0.06741573033707865,0.25,18,83,0.17364016736401675,0.7695618266370123,0.32621077536565457
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.1,,478,2,sequence,89,0.18619246861924685,48,0.100418410041841,15,0.16853932584269662,0.3125,33,74,0.15481171548117154,0.7695618266370123,0.32621077536565457
polypgen_test,PolypGen-Video,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.2,,478,2,sequence,89,0.18619246861924685,96,0.200836820083682,34,0.38202247191011235,0.3541666666666667,62,55,0.11506276150627615,0.7695618266370123,0.32621077536565457
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.01,,84,4,sequence,64,0.7619047619047619,1,0.011904761904761904,0,0.0,0.0,1,64,0.7619047619047619,0.0,0.5574270695496106
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.05,,84,4,sequence,64,0.7619047619047619,5,0.05952380952380952,0,0.0,0.0,5,64,0.7619047619047619,0.0,0.5574270695496106
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.1,,84,4,sequence,64,0.7619047619047619,9,0.10714285714285714,0,0.0,0.0,9,64,0.7619047619047619,0.0,0.5574270695496106
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.2,,84,4,sequence,64,0.7619047619047619,17,0.20238095238095238,0,0.0,0.0,17,64,0.7619047619047619,0.0,0.5574270695496106
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,42,2,sequence,3,0.07142857142857142,1,0.023809523809523808,0,0.0,0.0,1,3,0.07142857142857142,0.8034188034188035,0.20740740740740743
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,42,2,sequence,3,0.07142857142857142,3,0.07142857142857142,0,0.0,0.0,3,3,0.07142857142857142,0.8034188034188035,0.20740740740740743
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,42,2,sequence,3,0.07142857142857142,5,0.11904761904761904,1,0.3333333333333333,0.2,4,2,0.047619047619047616,0.8034188034188035,0.20740740740740743
sam2_polypgen_test,PolypGen-Video,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,42,2,sequence,3,0.07142857142857142,9,0.21428571428571427,2,0.6666666666666666,0.2222222222222222,7,1,0.023809523809523808,0.8034188034188035,0.20740740740740743
sam2_sun_easy_unseen,SUN-SEG,test_easy_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,819,39,case,132,0.16117216117216118,9,0.01098901098901099,9,0.06818181818181818,1.0,0,123,0.15018315018315018,0.966818843456398,0.8873449248653621
sam2_sun_easy_unseen,SUN-SEG,test_easy_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,819,39,case,132,0.16117216117216118,41,0.050061050061050064,41,0.3106060606060606,1.0,0,91,0.1111111111111111,0.966818843456398,0.8873449248653621
sam2_sun_easy_unseen,SUN-SEG,test_easy_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,819,39,case,132,0.16117216117216118,82,0.10012210012210013,79,0.5984848484848485,0.9634146341463414,3,53,0.06471306471306472,0.966818843456398,0.8873449248653621
sam2_sun_easy_unseen,SUN-SEG,test_easy_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,819,39,case,132,0.16117216117216118,164,0.20024420024420025,109,0.8257575757575758,0.6646341463414634,55,23,0.028083028083028084,0.966818843456398,0.8873449248653621
sam2_sun_hard_unseen,SUN-SEG,test_hard_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,546,26,case,46,0.08424908424908426,6,0.01098901098901099,6,0.13043478260869565,1.0,0,40,0.07326007326007326,0.9374782608695652,0.6969545349458512
sam2_sun_hard_unseen,SUN-SEG,test_hard_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,546,26,case,46,0.08424908424908426,28,0.05128205128205128,23,0.5,0.8214285714285714,5,23,0.04212454212454213,0.9374782608695652,0.6969545349458512
sam2_sun_hard_unseen,SUN-SEG,test_hard_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,546,26,case,46,0.08424908424908426,55,0.10073260073260074,27,0.5869565217391305,0.4909090909090909,28,19,0.0347985347985348,0.9374782608695652,0.6969545349458512
sam2_sun_hard_unseen,SUN-SEG,test_hard_unseen,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,546,26,case,46,0.08424908424908426,110,0.20146520146520147,41,0.8913043478260869,0.37272727272727274,69,5,0.009157509157509158,0.9374782608695652,0.6969545349458512
sam2_sun_negative_case1_train,SUN-SEG,train,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.01,,21,1,case,19,0.9047619047619048,1,0.047619047619047616,0,0.0,0.0,1,19,0.9047619047619048,0.0,0.7741727679197126
sam2_sun_negative_case1_train,SUN-SEG,train,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.05,,21,1,case,19,0.9047619047619048,2,0.09523809523809523,0,0.0,0.0,2,19,0.9047619047619048,0.0,0.7741727679197126
sam2_sun_negative_case1_train,SUN-SEG,train,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.1,,21,1,case,19,0.9047619047619048,3,0.14285714285714285,1,0.05263157894736842,0.3333333333333333,2,18,0.8571428571428571,0.0,0.7741727679197126
sam2_sun_negative_case1_train,SUN-SEG,train,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.2,,21,1,case,19,0.9047619047619048,5,0.23809523809523808,3,0.15789473684210525,0.6,2,16,0.7619047619047619,0.0,0.7741727679197126
